Nombre,Descripcion_del_producto,Precio
Tomate frito Hacendado,3 bricks x 400 g,"1,35 €"
Tomate ensalada,Pieza 220 g aprox.,"0,44 €"
Rama de Tomates,610 g aprox.,"1,40 €"
Tomate triturado Hacendado,Bote 400 g,"0,65 €"
Tomates cherry,Bandeja 500 g,"1,98 €"
Tomate frito receta artesana Hacendado,Tarro 560 g,"2,10 €"
Tomate pera,Pieza 160 g aprox.,"0,32 €"
Tomate frito receta artesana Hacendado,Tarro 300 g,"1,50 €"
Tomate rallado,Tarrina 290 g,"1,45 €"
Tomate rosa,Pieza 410 g aprox.,"1,41 €"
Tomate triturado Hacendado,Bote 800 g,"0,98 €"
Tomates pera,1 kg aprox.,"2,07 €"
Tomates negros,1 kg aprox.,"2,60 €"
Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,"1,40 €"
Tomate frito Hacendado,3 mini bricks x 210 g,"0,95 €"
Tomates cherry pera kumato,Bandeja 300 g,"1,61 €"
Tomate frito sin azucares añadidos Hacendado,Tarro 560 g,"1,10 €"
Tomates Anhel,460 g aprox.,"2,86 €"
Tomate frito estilo casero Hacendado,Brick 380 g,"1,20 €"
Tomate para untar Hacendado con aceite de oliva,2 tarritos x 160 g,"1,65 €"
Caldo de pollo Hacendado,Brick 1 L,"0,70 €"
Caldo de pollo casero Gallina Blanca,Brick 1 L,"2,20 €"
Tomate troceado pelado Hacendado,Bote 410 g,"0,80 €"
Tomates,Malla 2 kg,"3,54 €"
Tomate frito Hida,Bote 400 g,"1,75 €"
Caldo de verduras Hacendado,Brick 1 L,"1,00 €"
Caldo de cocido Hacendado,Brick 1 L,"0,90 €"
Caldo de pollo Hacendado en pastillas,Caja 24 ud. (240 g),"1,30 €"
Tomate entero pelado Hacendado,Bote 800 g (480 g escurrido),"1,35 €"
Fritada pisto Hacendado,Brick 380 g,"1,30 €"
Tomates cherry en rama Dulcita,Bandeja 200 g,"2,00 €"
Tomate frito Hacendado,Tarro 560 g,"0,90 €"
Tomate tamizado sin piel Hacendado,Brick 390 g,"0,90 €"
Tomate doble concentrado Hacendado extra,Bote 170 g,"1,05 €"
Caldo de pescado Hacendado,Brick 1 L,"1,00 €"
Caldo de marisco o fideua para paella Hacendado con sofrito,Brick 1 L,"2,10 €"
Caldo de carne Hacendado en pastillas,Caja 12 ud. (120 g),"0,85 €"
Fumet caldo de pescado Hacendado,Botella 950 g,"3,00 €"
Tomate seco Hacendado en aceite de oliva,Tarro 190 g,"2,30 €"
Tomate ensalada,1 kg aprox.,"2,09 €"
Salsa de tomate con Albahaca Hacendado,Tarro 400 g,"1,75 €"
Tomate canario,Pieza 190 g aprox.,"0,36 €"
Caldo de pollo Avecrem en pastillas,Caja 24 ud. (240 g),"2,95 €"
Caldo de verduras Hacendado en pastillas,Caja 12 ud. (120 g),"0,85 €"
Sopa de pollo Gallina Blanca con fideos finos,Sobre 71 g,"0,85 €"
Sopa de pollo Hacendado con fideos finos,2 sobres x 80 g,"1,00 €"
Tomate negro,Pieza 150 g aprox.,"0,41 €"
Panes especiales con tomate y orégano Hacendado,Paquete 80 g,"0,85 €"
Pan tostado con tomate Hacendado,Paquete 170 g,"1,28 €"
Salsa de tomate Boloñesa Hacendado,Tarro 400 g,"1,90 €"
Caldo de pollo Hacendado bajo en sal,Brick 1 L,"1,20 €"
Doble caldo sabor clasico carne Knorr en pastillas,Caja 16 ud. (160 g),"1,65 €"
Salsa de tomate Zero sin azucares añadidos Hacendado,Bote 600 g,"1,60 €"
Zumo de tomate Hacendado,Brick 1 L,"1,05 €"
Zumo de manzana Hacendado,6 mini bricks x 200 ml,"1,30 €"
Filetes de caballa del sur en tomate Hacendado,2 latas x 65 g,"1,55 €"
Sardinillas en tomate Hacendado,2 latas x 65 g,"1,60 €"
Néctar de guayaba Hacendado,Brick 1 L,"1,30 €"
Alubias con tomate Heinz,Bote 415 g,"1,50 €"
Zumo de manzana Hacendado,Brick 1 L,"0,80 €"
Mermelada de tomate Hacendado,Tarro 440 g,"1,95 €"
Bebida de mango Hacendado sin azucares añadidos,Brick 1 L,"1,25 €"
Pizzas tomate y queso Hacendado ultracongeladas,2 ud. x 285 g,"2,40 €"
Zumo de manzana seleccion Hacendado,Brick 1 L,"1,60 €"
"Néctar de maracuya Hacendado fruta de la pasion, mango, uva y manzana",Brick 1 L,"1,35 €"
Atun en salsa de tomate Hacendado,3 latas x 52 g,"2,10 €"
Bebida de pomelo Hacendado sin azucares añadidos,Brick 1 L,"1,25 €"
Sopa maravilla Hacendado,Sobre 85 g,"0,65 €"
Tallarines Formaggio Hacendado salsa cremosa de queso,Sobre 190 g,"1,30 €"
Caldo para paella de carne Hacendado con sofrito,Brick 1 L,"2,25 €"
Caldo de pescado Hacendado en pastillas,Caja 12 ud. (120 g),"0,85 €"
Sopa de cebolla Hacendado,Sobre 43 g,"0,65 €"
Sopa de cocido Hacendado,Sobre 72 g,"0,65 €"
Sopa de miso,Paquete 3 ud.,"2,25 €"
Sopa de verduras Hacendado,Sobre 51 g,"0,65 €"
Mascarilla Repair & Nutrition Deliplus cabello seco y dañado,Tarro 400 ml,"2,05 €"
Acondicionador Suavidad y Brillo Deliplus todo tipo de cabello,Botella 1 L,"1,60 €"
Mascarilla Argan Oil Deliplus cabello seco y dañado,Tarro 400 ml,"2,50 €"
Acondicionador Repair & Nutrition Deliplus cabello seco y dañado,Bote 300 ml,"1,40 €"
Mascarilla Repara & Protege Pantene cabello dañado y seco,Tarro 200 ml,"2,85 €"
Acondicionador Repara & Protege Pantene,Bote 250 ml,"4,00 €"
