Nombre,Descripcion_del_producto,Precio,Imagen,off_product_name,off_barcode,off_brands,off_quantity,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
Tomate frito Hacendado,3 bricks x 400 g,1.35,https://prod-mercadona.imgix.net/images/e589c8259daf4b9335098fb9ade7ee09.jpg?fit=crop&h=300&w=300,Tomate frito,8480000171320,Hacendado,400 g,c,b,4,"Tomate, aceite de girasol, azúcar, almidón modificado de maíz, sal, cebolla, ajo, conservador (sorbato potásico),",77,3.5,0.3,9.5,6.9,0,1.5,1,0.4
Tomate ensalada,Pieza 220 g aprox.,0.44,https://prod-mercadona.imgix.net/images/ccb2b42ba2bb6a7b692dac6101074709.jpg?fit=crop&h=300&w=300,Ensaladas sin gluten con tomate y espinacas,8410069018588,Gallo,,c,unknown,4,"Hélices sin Vegetales: harina de maíz 80%, harina de arroz 19,7%, emulgente (mono y diglicéridos de ácidos grasos).
Hélices con Tomate: harina de maíz 76,7%, harina de arroz 18%, tomate concentrado 5%, emulgente (mono y diglicéridos de ácidos grasos).
Hélices con Espinacas: harina de maíz 78,7%, harina de arroz 19%, espinacas deshidratadas 2%, emulgente (mono y diglicéridos de ácidos grasos).",352,1.8,0.4,77,1,2.3,5.8,0.23,0.092
Rama de Tomates,610 g aprox.,1.4,https://prod-mercadona.imgix.net/images/b865049658bc89eaf2131c967ee4d57e.jpg?fit=crop&h=300&w=300,Gazpacho con tomate rama con aceite de oliva,8422237254247,Santa Teresa,1 l,a,a,3,"Tomates frescos, pimientos frescos, pepinos frescos, aceite de oliva virgen extra (3%), ajos frescos, sal y vinagre de Jerez.",52,3.3,0.6,4,3.3,1.3,0.8,0.8,0.32
Tomate triturado Hacendado,Bote 400 g,0.65,https://prod-mercadona.imgix.net/images/db53895dcbf286affe16def253a0ab89.jpg?fit=crop&h=300&w=300,Tomate triturado,8480000160447,Hacendado,400g escurridos,a,a,3,"Tomate, sal, acidulante: ácido cítrico.",28,0.1,0,5.5,4.4,,0.8,0.5,0.2
Tomates cherry,Bandeja 500 g,1.98,https://prod-mercadona.imgix.net/images/67f3a44f9dc0f1a9c5389c86ec5ac8b6.jpg?fit=crop&h=300&w=300,Tomates Cerises,3276558775128,Simply,250g,a,not-applicable,1,Tomates cerise origine Maroc 100%,19.3,0.26,0.056,2.49,2.48,1.2,0.86,0,0
Tomate frito receta artesana Hacendado,Tarro 560 g,2.1,https://prod-mercadona.imgix.net/images/959baf90e8b8eee09398534f7c549992.jpg?fit=crop&h=300&w=300,Tomate frito receta artesana con aceite de oliva,8480000171634,Hacendado,560g,c,b,3,"tomato, olive oil (15%), sugar, salt, garlic",201,15,2.1,14.3,12.5,,1.6,0.885,0.354
Tomate pera,Pieza 160 g aprox.,0.32,https://prod-mercadona.imgix.net/images/81e5188f5a00f6210c4becaaeb2fbad8.jpg?fit=crop&h=300&w=300,Tomates cherry pera,20250379,Topmato,250 g,unknown,not-applicable,,"Tomates cherry de tipo pera,",,,,,,,,,
Tomate frito receta artesana Hacendado,Tarro 300 g,1.5,https://prod-mercadona.imgix.net/images/450e65a016ec657d968e9926d761ec85.jpg?fit=crop&h=300&w=300,Tomate frito receta artesana con aceite de oliva,8480000171634,Hacendado,560g,c,b,3,"tomato, olive oil (15%), sugar, salt, garlic",201,15,2.1,14.3,12.5,,1.6,0.885,0.354
Tomate rallado,Tarrina 290 g,1.45,https://prod-mercadona.imgix.net/images/4bec5b1ddd1915ecba5b1a8bd2a64118.jpg?fit=crop&h=300&w=300,Tomate Rallado Fresco,8430543025611,Bonnysa,290 g,a,a,1,"Tomate,",23,0.5,0.1,3.6,0.8,1.2,0.5,0.5,0.2
Tomate rosa,Pieza 410 g aprox.,1.41,https://prod-mercadona.imgix.net/images/16059afe6d120af69436af7868b13de6.jpg?fit=crop&h=300&w=300,Gazpacho con tomate rosa,4056489409458,Origen y tradición,1 l,d,a,3,"Tomate (&quot;tomate rosa&quot;) 71%, aceite de oliva virgen extra 8%, cebolla, pimiento, agua, vinagre, sal, ajo (&quot;ajo morado de las pedroñeras&quot;).",93,8.3,1.2,3.2,2.2,,0.8,0.56,0.224
Tomate triturado Hacendado,Bote 800 g,0.98,https://prod-mercadona.imgix.net/images/117a2a2230b103f17b50e07a73a8fc38.jpg?fit=crop&h=300&w=300,Tomate triturado,8480000160447,Hacendado,400g escurridos,a,a,3,"Tomate, sal, acidulante: ácido cítrico.",28,0.1,0,5.5,4.4,,0.8,0.5,0.2
Tomates pera,1 kg aprox.,2.07,https://prod-mercadona.imgix.net/images/4c49ad43f84adb17d7bc8f3bd05148b9.jpg?fit=crop&h=300&w=300,Tomates cherry pera,20250379,Topmato,250 g,unknown,not-applicable,,"Tomates cherry de tipo pera,",,,,,,,,,
Tomates negros,1 kg aprox.,2.6,https://prod-mercadona.imgix.net/images/9dcdcd3905a23003d0033161674abf16.jpg?fit=crop&h=300&w=300,Tomete cherry pera negro,8412276563882,,300 g,unknown,a,,,,,,,,,,,
Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,1.4,https://prod-mercadona.imgix.net/images/bac47a7f2186be4ef7b42b3fbc3775d6.jpg?fit=crop&h=300&w=300,Tomate frito receta artesana con aceite de oliva,8480000171634,Hacendado,560g,c,b,3,"tomato, olive oil (15%), sugar, salt, garlic",201,15,2.1,14.3,12.5,,1.6,0.885,0.354
Tomate frito Hacendado,3 mini bricks x 210 g,0.95,https://prod-mercadona.imgix.net/images/bef3c040943e4b6dd59b15f565ec4f08.jpg?fit=crop&h=300&w=300,Tomate frito,8480000171320,Hacendado,400 g,c,b,4,"Tomate, aceite de girasol, azúcar, almidón modificado de maíz, sal, cebolla, ajo, conservador (sorbato potásico),",77,3.5,0.3,9.5,6.9,0,1.5,1,0.4
Tomates cherry pera kumato,Bandeja 300 g,1.61,https://prod-mercadona.imgix.net/images/69f9cf39f96f74f38ba11746e3d87fdd.jpg?fit=crop&h=300&w=300,Tomare cherry pera kumato,8427603071503,Full Fresh,250 g,unknown,not-applicable,,Tomates de tipo cherry kumato.,,,,,,,,,
Tomate frito sin azucares a–adidos Hacendado,Tarro 560 g,1.1,https://prod-mercadona.imgix.net/images/0680dffe67fb4eac8c3423ddd35f15a1.jpg?fit=crop&h=300&w=300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tomates Anhel,460 g aprox.,2.86,https://prod-mercadona.imgix.net/images/2fd86d7c784d7ee3b6701b80d55ba1c9.jpg?fit=crop&h=300&w=300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tomate frito estilo casero Hacendado,Brick 380 g,1.2,https://prod-mercadona.imgix.net/images/b316f525c80033093912e2829796b5cc.jpg?fit=crop&h=300&w=300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tomate para untar Hacendado con aceite de oliva,2 tarritos x 160 g,1.65,https://prod-mercadona.imgix.net/images/a2ee3e22852f18a62015fe2bc3e0b65d.jpg?fit=crop&h=300&w=300,Tomate para untar con aceite de oliva,8480000160041,Hacendado,320 g (2 x 160),a,a-plus,3,"Tomate fresco, aceite de oliva 4%, sal.",62,4,0.6,5,3.9,,1.1,1,0.4
Caldo de pollo Hacendado,Brick 1 L,0.7,https://prod-mercadona.imgix.net/images/a549c9bbb21719b4936b882ac2b36f69.jpg?fit=crop&h=300&w=300,Caldo de pollo,8402001015168,Hacendado,1L,c,unknown,4,"Agua, pollo (2%), almidón modificado, sal, aromas, hortalizas (puerro, zanahoria, patata y _apio_) (0,1%), aceite de oliva, especias.",5,0.5,0.1,1.3,0.5,0.5,0.5,0.71,0.284
