Nombre,Descripcion_del_producto,Precio,off_product_name,off_barcode,off_brands,off_quantity,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,processed_at,Cantidad_real,Unidad_medida
Uva roja sin semillas,Bandeja 500 g aprox.,2.5,Uva Roja Seedless raisins rouge,20229979,Moyca,500g,a,a,1.0,Uva roja.,,,,,,,,,,2025-05-13T12:42:28.478544,500.0,g
Tomate pera,Pieza 160 g aprox.,0.32,Tomates cherry pera,20250379,Topmato,250 g,unknown,not-applicable,,"Tomates cherry de tipo pera,",,,,,,,,,,2025-05-13T11:53:34.377495,160.0,g
Tomates pera,1 kg aprox.,2.07,Tomates cherry pera,20250379,Topmato,250 g,unknown,not-applicable,,"Tomates cherry de tipo pera,",,,,,,,,,,2025-05-13T11:54:05.464410,1000.0,g
Pepino holandés,Pieza 425 g aprox.,1.04,Pepino,20395483,Vicasol,1 pieza,unknown,a-plus,,Pepino de tipo holandés.,,,,,,,,,,2025-05-14T02:05:58.013900,425.0,g
Nispero,500 g aprox.,2.75,Nisperos,20501211,Fajardo,500 g,unknown,unknown,,Níspero. Variedad Golden nuget. Categoría I. Calibre: 39-52 mm,,,,,,,,,,2025-05-13T12:49:10.715752,500.0,g
Contramuslos de pollo deshuesados y sin piel,Bandeja 550 g aprox.,3.69,Contramuslo de pollo deshuesado sin piel,2166145003073,el mercado de aldi,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:11:13.467747,550.0,g
Filetes higado de vacuno,Bandeja 600 g aprox.,5.82,"Filete Hígado de añojo, vacuno",2210720003122,,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:29:33.934034,600.0,g
Costilla de cerdo finas hierbas,Pieza 480 g aprox.,3.12,Tira de costilla a las finas hierbas,2231661004498,Lidl,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:24:22.809656,480.0,g
Chuletas de cordero palo y riñonada,Bandeja 630 g aprox.,18.27,Chuletas de cordero palo riñonada,2302821010915,mercadona,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:19:18.953352,630.0,g
Costilla de cerdo churrasco,Pieza 900 g aprox.,5.4,Costilla churrasco,2303491005324,Mercadona,,unknown,f,,,,,,,,,,,,2025-05-14T01:20:47.612551,900.0,g
Ciruela roja,Pieza 110 g aprox.,0.46,Ciruela roja pulpa roja,2303772001113,Tanynature,,unknown,c,,Ciruelas rojas.,,,,,,,,,,2025-05-13T12:43:14.280945,110.0,g
Longaniza magro fresca,Bandeja 535 g aprox.,3.37,Longaniza Magro fresca,2306040003208,mercadona,,unknown,unknown,,,222.0,18.0,6.0,2.0,0.5,,13.0,,,2025-05-14T01:31:13.388440,535.0,g
Repollo liso,"Pieza 1,74 kg aprox.",3.08,Repollo liso granel,230692360074600100000755,,,unknown,unknown,,,,,,,,,,,,2025-05-14T02:08:43.496269,74000.0,g
Escalopin de salmon,Bandeja 350 g aprox.,9.43,Escalopín de Salmón,230809080042402000008482,,,unknown,unknown,,,,,,,,,,,,2025-05-13T20:45:09.598820,350.0,g
Queso viejo intenso mezcla Hacendado,Pieza 330 g aprox.,4.74,QUESO MEZCLA VIEJO INTENSO,2350776013703,Hacendado,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:55:30.025327,330.0,g
Bacon ahumado sin corteza Monells,Pieza 310 g aprox.,3.02,Bacon ahumado sin corteza,2359170002337,Monells,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:36:04.371997,310.0,g
Seta laminada,Bandeja 250 g aprox.,2.21,Setas de ostra laminadas,2369616001169,Champinter,232 g (variable),unknown,not-applicable,,Setas de ostra (Pleorotus Ostreatus) cultivadas,,,,,,,,,,2025-05-13T12:18:54.500416,250.0,g
Champiñon pequeño,Bandeja 300 g aprox.,1.54,Champiñon pequeño pie cortado,2369651001148,Los Petos,,unknown,unknown,,,,,,,,,,,,2025-05-13T12:20:36.896753,300.0,g
