Nombre,Descripcion_del_producto,Precio,Imagen
Tomate frito Hacendado,3 bricks x 400 g,"1,35 Û",https://prod-mercadona.imgix.net/images/e589c8259daf4b9335098fb9ade7ee09.jpg?fit=crop&h=300&w=300
Tomate ensalada,Pieza 220 g aprox.,"0,44 Û",https://prod-mercadona.imgix.net/images/ccb2b42ba2bb6a7b692dac6101074709.jpg?fit=crop&h=300&w=300
Rama de Tomates,610 g aprox.,"1,40 Û",https://prod-mercadona.imgix.net/images/b865049658bc89eaf2131c967ee4d57e.jpg?fit=crop&h=300&w=300
Tomate triturado Hacendado,Bote 400 g,"0,65 Û",https://prod-mercadona.imgix.net/images/db53895dcbf286affe16def253a0ab89.jpg?fit=crop&h=300&w=300
Tomates cherry,Bandeja 500 g,"1,98 Û",https://prod-mercadona.imgix.net/images/67f3a44f9dc0f1a9c5389c86ec5ac8b6.jpg?fit=crop&h=300&w=300
Tomate frito receta artesana Hacendado,Tarro 560 g,"2,10 Û",https://prod-mercadona.imgix.net/images/959baf90e8b8eee09398534f7c549992.jpg?fit=crop&h=300&w=300
Tomate pera,Pieza 160 g aprox.,"0,32 Û",https://prod-mercadona.imgix.net/images/81e5188f5a00f6210c4becaaeb2fbad8.jpg?fit=crop&h=300&w=300
Tomate frito receta artesana Hacendado,Tarro 300 g,"1,50 Û",https://prod-mercadona.imgix.net/images/450e65a016ec657d968e9926d761ec85.jpg?fit=crop&h=300&w=300
Tomate rallado,Tarrina 290 g,"1,45 Û",https://prod-mercadona.imgix.net/images/4bec5b1ddd1915ecba5b1a8bd2a64118.jpg?fit=crop&h=300&w=300
Tomate rosa,Pieza 410 g aprox.,"1,41 Û",https://prod-mercadona.imgix.net/images/16059afe6d120af69436af7868b13de6.jpg?fit=crop&h=300&w=300
Tomate triturado Hacendado,Bote 800 g,"0,98 Û",https://prod-mercadona.imgix.net/images/117a2a2230b103f17b50e07a73a8fc38.jpg?fit=crop&h=300&w=300
Tomates pera,1 kg aprox.,"2,07 Û",https://prod-mercadona.imgix.net/images/4c49ad43f84adb17d7bc8f3bd05148b9.jpg?fit=crop&h=300&w=300
Tomates negros,1 kg aprox.,"2,60 Û",https://prod-mercadona.imgix.net/images/9dcdcd3905a23003d0033161674abf16.jpg?fit=crop&h=300&w=300
Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,"1,40 Û",https://prod-mercadona.imgix.net/images/bac47a7f2186be4ef7b42b3fbc3775d6.jpg?fit=crop&h=300&w=300
Tomate frito Hacendado,3 mini bricks x 210 g,"0,95 Û",https://prod-mercadona.imgix.net/images/bef3c040943e4b6dd59b15f565ec4f08.jpg?fit=crop&h=300&w=300
Tomates cherry pera kumato,Bandeja 300 g,"1,61 Û",https://prod-mercadona.imgix.net/images/69f9cf39f96f74f38ba11746e3d87fdd.jpg?fit=crop&h=300&w=300
Tomate frito sin azucares a–adidos Hacendado,Tarro 560 g,"1,10 Û",https://prod-mercadona.imgix.net/images/0680dffe67fb4eac8c3423ddd35f15a1.jpg?fit=crop&h=300&w=300
Tomates Anhel,460 g aprox.,"2,86 Û",https://prod-mercadona.imgix.net/images/2fd86d7c784d7ee3b6701b80d55ba1c9.jpg?fit=crop&h=300&w=300
Tomate frito estilo casero Hacendado,Brick 380 g,"1,20 Û",https://prod-mercadona.imgix.net/images/b316f525c80033093912e2829796b5cc.jpg?fit=crop&h=300&w=300
Tomate para untar Hacendado con aceite de oliva,2 tarritos x 160 g,"1,65 Û",https://prod-mercadona.imgix.net/images/a2ee3e22852f18a62015fe2bc3e0b65d.jpg?fit=crop&h=300&w=300
Caldo de pollo Hacendado,Brick 1 L,"0,70 Û",https://prod-mercadona.imgix.net/images/a549c9bbb21719b4936b882ac2b36f69.jpg?fit=crop&h=300&w=300
