Nombre,Descripcion_del_producto,Precio,Imagen
Tomate frito Hacendado,3 bricks x 400 g,"1,35 €",https://prod-mercadona.imgix.net/images/e589c8259daf4b9335098fb9ade7ee09.jpg?fit=crop&h=300&w=300
Tomate ensalada,Pieza 220 g aprox.,"0,44 €",https://prod-mercadona.imgix.net/images/ccb2b42ba2bb6a7b692dac6101074709.jpg?fit=crop&h=300&w=300
Rama de Tomates,610 g aprox.,"1,40 €",https://prod-mercadona.imgix.net/images/b865049658bc89eaf2131c967ee4d57e.jpg?fit=crop&h=300&w=300
Tomate triturado Hacendado,Bote 400 g,"0,65 €",https://prod-mercadona.imgix.net/images/db53895dcbf286affe16def253a0ab89.jpg?fit=crop&h=300&w=300
Tomates cherry,Bandeja 500 g,"1,98 €",https://prod-mercadona.imgix.net/images/67f3a44f9dc0f1a9c5389c86ec5ac8b6.jpg?fit=crop&h=300&w=300
Tomate frito receta artesana Hacendado,Tarro 560 g,"2,10 €",https://prod-mercadona.imgix.net/images/959baf90e8b8eee09398534f7c549992.jpg?fit=crop&h=300&w=300
Tomate pera,Pieza 160 g aprox.,"0,32 €",https://prod-mercadona.imgix.net/images/81e5188f5a00f6210c4becaaeb2fbad8.jpg?fit=crop&h=300&w=300
Tomate frito receta artesana Hacendado,Tarro 300 g,"1,50 €",https://prod-mercadona.imgix.net/images/450e65a016ec657d968e9926d761ec85.jpg?fit=crop&h=300&w=300
Tomate rallado,Tarrina 290 g,"1,45 €",https://prod-mercadona.imgix.net/images/4bec5b1ddd1915ecba5b1a8bd2a64118.jpg?fit=crop&h=300&w=300
Tomate rosa,Pieza 410 g aprox.,"1,41 €",https://prod-mercadona.imgix.net/images/16059afe6d120af69436af7868b13de6.jpg?fit=crop&h=300&w=300
Tomate triturado Hacendado,Bote 800 g,"0,98 €",https://prod-mercadona.imgix.net/images/117a2a2230b103f17b50e07a73a8fc38.jpg?fit=crop&h=300&w=300
Tomates pera,1 kg aprox.,"2,07 €",https://prod-mercadona.imgix.net/images/4c49ad43f84adb17d7bc8f3bd05148b9.jpg?fit=crop&h=300&w=300
Tomates negros,1 kg aprox.,"2,60 €",https://prod-mercadona.imgix.net/images/9dcdcd3905a23003d0033161674abf16.jpg?fit=crop&h=300&w=300
Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,"1,40 €",https://prod-mercadona.imgix.net/images/bac47a7f2186be4ef7b42b3fbc3775d6.jpg?fit=crop&h=300&w=300
Tomate frito Hacendado,3 mini bricks x 210 g,"0,95 €",https://prod-mercadona.imgix.net/images/bef3c040943e4b6dd59b15f565ec4f08.jpg?fit=crop&h=300&w=300
Tomates cherry pera kumato,Bandeja 300 g,"1,61 €",https://prod-mercadona.imgix.net/images/69f9cf39f96f74f38ba11746e3d87fdd.jpg?fit=crop&h=300&w=300
Tomate frito sin azucares añadidos Hacendado,Tarro 560 g,"1,10 €",https://prod-mercadona.imgix.net/images/0680dffe67fb4eac8c3423ddd35f15a1.jpg?fit=crop&h=300&w=300
Tomates Anhel,460 g aprox.,"2,86 €",https://prod-mercadona.imgix.net/images/2fd86d7c784d7ee3b6701b80d55ba1c9.jpg?fit=crop&h=300&w=300
Tomate frito estilo casero Hacendado,Brick 380 g,"1,20 €",https://prod-mercadona.imgix.net/images/b316f525c80033093912e2829796b5cc.jpg?fit=crop&h=300&w=300
Tomate para untar Hacendado con aceite de oliva,2 tarritos x 160 g,"1,65 €",https://prod-mercadona.imgix.net/images/a2ee3e22852f18a62015fe2bc3e0b65d.jpg?fit=crop&h=300&w=300
Caldo de pollo Hacendado,Brick 1 L,"0,70 €",https://prod-mercadona.imgix.net/images/a549c9bbb21719b4936b882ac2b36f69.jpg?fit=crop&h=300&w=300
Caldo de pollo casero Gallina Blanca,Brick 1 L,"2,20 €",https://prod-mercadona.imgix.net/images/fe86551e6df09f72b72bcc5c0e68c5d1.jpg?fit=crop&h=300&w=300
Tomate troceado pelado Hacendado,Bote 410 g,"0,80 €",https://prod-mercadona.imgix.net/images/f57a95e6f3f0cce02e36ec9bd75cbfc9.jpg?fit=crop&h=300&w=300
Tomates,Malla 2 kg,"3,54 €",https://prod-mercadona.imgix.net/images/1f7c573e8ca26a34766e270bd2bb765e.jpg?fit=crop&h=300&w=300
Tomate frito Hida,Bote 400 g,"1,75 €",https://prod-mercadona.imgix.net/images/41c22877e6e0c95dd006fd7696cb9919.jpg?fit=crop&h=300&w=300
Caldo de verduras Hacendado,Brick 1 L,"1,00 €",https://prod-mercadona.imgix.net/images/c4cbe46d861d4449ca8ee78df66b1751.jpg?fit=crop&h=300&w=300
Caldo de cocido Hacendado,Brick 1 L,"0,90 €",https://prod-mercadona.imgix.net/images/5a40a5173723c7c1dc0ac476a6956cca.jpg?fit=crop&h=300&w=300
Caldo de pollo Hacendado en pastillas,Caja 24 ud. (240 g),"1,30 €",https://prod-mercadona.imgix.net/images/7655d0341839cc875249fc04810d7e4a.jpg?fit=crop&h=300&w=300
Tomate entero pelado Hacendado,Bote 800 g (480 g escurrido),"1,35 €",https://prod-mercadona.imgix.net/images/da1986c59308309dbcb8fdd2e5c3f730.jpg?fit=crop&h=300&w=300
Fritada pisto Hacendado,Brick 380 g,"1,30 €",https://prod-mercadona.imgix.net/images/512ddb56061f936ba850de0232f98d22.jpg?fit=crop&h=300&w=300
Tomates cherry en rama Dulcita,Bandeja 200 g,"2,00 €",https://prod-mercadona.imgix.net/images/2ab1d29071350f27f27b9b3b08129da4.jpg?fit=crop&h=300&w=300
Tomate frito Hacendado,Tarro 560 g,"0,90 €",https://prod-mercadona.imgix.net/images/aa5235f082055661c97dc0bcf5ade914.jpg?fit=crop&h=300&w=300
Tomate tamizado sin piel Hacendado,Brick 390 g,"0,90 €",https://prod-mercadona.imgix.net/images/3c01bf24b3d8134f7023d9360cb3c8b5.jpg?fit=crop&h=300&w=300
Tomate doble concentrado Hacendado extra,Bote 170 g,"1,05 €",https://prod-mercadona.imgix.net/images/21524237f9e676cb0c075d38a8ff1578.jpg?fit=crop&h=300&w=300
Caldo de pescado Hacendado,Brick 1 L,"1,00 €",https://prod-mercadona.imgix.net/images/5728a1a87196df19aa1939b258f88b7f.jpg?fit=crop&h=300&w=300
Caldo de marisco o fideua para paella Hacendado con sofrito,Brick 1 L,"2,10 €",https://prod-mercadona.imgix.net/images/e38cb3ccc86a38036a865957f83f971d.jpg?fit=crop&h=300&w=300
Caldo de carne Hacendado en pastillas,Caja 12 ud. (120 g),"0,85 €",https://prod-mercadona.imgix.net/images/e93fd4318e0a63431c449db04bd1d442.jpg?fit=crop&h=300&w=300
Fumet caldo de pescado Hacendado,Botella 950 g,"3,00 €",https://prod-mercadona.imgix.net/images/d251e99fd1a16ddc6d18033a1c224150.jpg?fit=crop&h=300&w=300
Tomate seco Hacendado en aceite de oliva,Tarro 190 g,"2,30 €",https://prod-mercadona.imgix.net/images/583806865dd5df9204520ea70f4f4287.jpg?fit=crop&h=300&w=300
Tomate ensalada,1 kg aprox.,"2,09 €",https://prod-mercadona.imgix.net/images/b132dc9f799b24b1ddc76b03731dd92f.jpg?fit=crop&h=300&w=300
Salsa de tomate con Albahaca Hacendado,Tarro 400 g,"1,75 €",https://prod-mercadona.imgix.net/images/a4df9be0e66c4c72ee971c33856dfc27.jpg?fit=crop&h=300&w=300
Tomate canario,Pieza 190 g aprox.,"0,36 €",https://prod-mercadona.imgix.net/images/a80465f28148c351b28802d12d5e5a38.jpg?fit=crop&h=300&w=300
